time;V(/in);V(/out);
2,8028e-11;0;1,8;
2,8128e-11;0;1,8;
2,8228e-11;0;1,8;
2,8328e-11;0;1,8;
2,8428e-11;0;1,8;
2,8528e-11;0;1,8;
2,8628e-11;0;1,8;
2,8728e-11;0;1,8;
2,8828e-11;0;1,8;
2,8928e-11;0;1,8;
2,9028e-11;0;1,8;
2,9128e-11;0;1,8;
2,9228e-11;0;1,8;
2,9328e-11;0;1,8;
2,9428e-11;0;1,8;
2,9528e-11;0;1,8;
2,9628e-11;0;1,8;
2,9728e-11;0;1,8;
2,9828e-11;0;1,8;
2,9928e-11;0;1,8;
3,0028e-11;0;1,8;
3,0128e-11;0;1,8;
3,0228e-11;0;1,8;
3,0328e-11;0;1,8;
3,0428e-11;0;1,8;
3,0528e-11;0;1,8;
3,0628e-11;0;1,8;
3,0728e-11;0;1,8;
3,0828e-11;0;1,8;
3,0928e-11;0;1,8;
3,1028e-11;0;1,8;
3,1128e-11;0;1,8;
3,1228e-11;0;1,8;
3,1328e-11;0;1,8;
3,1428e-11;0;1,8;
3,1528e-11;0;1,8;
3,1628e-11;0;1,8;
3,1728e-11;0;1,8;
3,1828e-11;0;1,8;
3,1928e-11;0;1,8;
3,2028e-11;0;1,8;
3,2128e-11;0;1,8;
3,2228e-11;0;1,8;
3,2328e-11;0;1,8;
3,2428e-11;0;1,8;
3,2528e-11;0;1,8;
3,2628e-11;0;1,8;
3,2728e-11;0;1,8;
3,2828e-11;0;1,8;
3,2928e-11;0;1,8;
3,3028e-11;0;1,8;
3,3128e-11;0;1,8;
3,3228e-11;0;1,8;
3,3328e-11;0;1,8;
3,3428e-11;0;1,8;
3,3528e-11;0;1,8;
3,3628e-11;0;1,8;
3,3728e-11;0;1,8;
3,3828e-11;0;1,8;
3,3928e-11;0;1,8;
3,4028e-11;0;1,8;
3,4128e-11;0;1,8;
3,4228e-11;0;1,8;
3,4328e-11;0;1,8;
3,4428e-11;0;1,8;
3,4528e-11;0;1,8;
3,4628e-11;0;1,8;
3,4728e-11;0;1,8;
3,4828e-11;0;1,8;
3,4928e-11;0;1,8;
3,5028e-11;0;1,8;
3,5128e-11;0;1,8;
3,5228e-11;0;1,8;
3,5328e-11;0;1,8;
3,5428e-11;0;1,8;
3,5528e-11;0;1,8;
3,5628e-11;0;1,8;
3,5728e-11;0;1,8;
3,5828e-11;0;1,8;
3,5928e-11;0;1,8;
3,6028e-11;0;1,8;
3,6128e-11;0;1,8;
3,6228e-11;0;1,8;
3,6328e-11;0;1,8;
